State,Name,TypeID,ID,Type,Title,Established,Target,Date,Requirement,Applicable Sectors,Cost Cap,Details,"Enabling Statute, Code, or Order"
NV,Nevada,4,32,Required,Energy Portfolio Standard,1997,50%,2030,50% by 2030; non-binding 100% carbon-free by 2050,"Investor-owned utility, retail supplier",None,In 2019 Nevada increased its RPS from 25% by 2025 to 50% by 2030 and removed its solar carve-out (6% for 2016-2025). The state has a credit multiplier for photovoltaics and on peak energy savings.,Nev. Rev. Stat. §704.7801 et seq.; Senate Bill 358 (2019)
NH,New Hampshire,4,33,Required,Electric Renewable Portfolio Standard,2007,25.20%,2025,25.2% by 2025,"Investor-owned utility, cooperative utilities, retail supplier",Approximately 7%,Solar: 0.7% new solar in 2020 and after. Requires at least 15% of requirement to be met with new renewables.,N.H. Rev. Stat. Ann. §362-F
NJ,New Jersey,4,34,Required,Renewables Portfolio Standard,1991,50%,2030,50% by 2030,"Investor-owned utility, retail supplier",Approximately 10%,"50% Class I renewables by 2030. 2.5% Class II renewables each year. 5.1% solar-electric by 2021, then gradually reduced to 1.1% by 2031. Offshore wind: 3,500 MW.",N.J. Rev. Stat. §48:3-49 et seq.; Assembly Bill 3723 (2018)
NM,New Mexico,4,35,Required,Renewables Portfolio Standard,2002,40%,2025,40% by 2025; 80% renewables by 2040; 100% of electricity supplied by zero-carbon resources by 2045,"Investor-owned utility, cooperative utilities",None,"Solar: 20% by 2020 (IOUs). Wind: 30% by 2020 (IOUs). Other renewables including geothermal, biomass and certain hydro facilities: 5% by 2020 (IOUs). Distributed Generation: 3% by 2020 (IOUs). The state has a credit multiplier for solar energy that was operational before 2012.",N.M. Stat. Ann. §62-15-1 et seq.; N.M. Stat. Ann. §62-16-1 et seq.; Senate Bill 489 (2019)
NY,New York,4,36,Required,Renewable Portfolio Standard; Reforming the Energy Vision (REV),2004,70%,2030,70% renewables by 2030; 100% zero-emissions electricity requirement by 2040,"Investor-owned utility, municipal utilities, cooperative utilities, retail supplie",None,"In 2019, New York increased its RPS from 50% to 70% by 2030. Offshore wind: goal of 2,400 MW by 2030.",NY PSC Order Case 03-E-0188; 2015 New York State Energy Plan; Senate Bill 6599 (2019)
NC,North Carolina,4,37,Required,Renewable Energy and Energy Efficiency Portfolio Standard,2007,12.50%,2021,12.5% by 2021 (IOUs); 10% by 2018 (munis and coops),"Investor-owned utility, municipal utilities, cooperative utilities",Approximately 1.5%,"Solar: 0.2% by 2018. Swine Waste: 0.2% by 2018. Poultry Waste: 900,000 MWh by 2015. The state offers credit multipliers for biomass facilities located in cleanfields renewable energy demonstration parks.",N.C. Gen. Stat. §62-133.8
ND,North Dakota,4,38,Required,Renewable and Recycled Energy Objective,2007,10%,2015,10% by 2015,"Investor-owned utility, municipal utilities, cooperative utilities",None,,N.D. Cent. Code §49-02-24 et seq.
OH,Ohio,4,39,Required,Alternative Energy Resource Standard,2008,8.50%,2026,8.5% by 2026,"Investor-owned utility, retail supplier",Approximately 2%,"In 2019, Ohio reduced its RPS requirement and eliminated its solar-carveout. The state reduced its RPS from 12.5% to 8.5% by 2026, including reductions in annual incremental targets. Ohio previously enacted a two-year freeze (Senate Bill 310 (2014))  on the state's RPS standard while a panel studied the costs and benefits of the requirement. The freeze was not extended in 2016. ",Ohio Rev. Code Ann. §4928.64 et seq.; House Bill 6 (2019)
OK,Oklahoma,2,40,Expired,Renewable Energy Goal,2010,15%,2015,15% by 2015,"Investor-owned utility, municipal utilities, cooperative utilities",None,,Okla. Stat. tit. 17 §801.1 et seq.
OR,Oregon,4,41,Required,Renewable Portfolio Standard,2007,80%,2030,"In July 2021, Oregon passed legislation to complement its RPS. The state’s “Clean Energy Targets” legislation requires retail electricity providers to reduce emissions by the following levels below baseline: 80% by 2030; 90% by 2035; and 100% by 2040 (see below for further explanation)","Investor-owned utility, municipal utilities, cooperative utilities, retail supplier",Approximately 4%,"The distinction between the new Clean Energy Targets and Oregon’s RPS is important, but the two pieces of legislation work in tandem to affect the same result. Oregon’s RPS requires electricity providers to generate electricity from qualifying sources, such as wind, solar or hydroelectric power. Whereas the Clean Energy Targets requires electricity providers to eliminate greenhouse gas emissions, without a focus on the source of the energy. While renewable energy generation is expected to be the primary contributor to meeting the state’s Clean Energy Targets, the legislation also focuses on energy efficiency, demand responses resources, transmission, community-based renewable energy, and emissions reporting. The state’s RPS requirements include the following carve-outs: Photovoltaics: 20 MW by 2020 (IOUs). The state has a credit multiplier for photovoltaics installed before 2016. The state's two investor-owned utilities must phase out coal generation by 2035. By 2025 at least 8% of aggregate electrical capacity must come from small-scale community renewable energy projects with a capacity of 20 megawatts (MW) or less.",Or. Rev. Stat. §469a; Senate Bill 1547 (2016)
PA,Pennsylvania,4,42,Required,Alternative Energy Portfolio Standard,2004,18%,2020,18% by 2020-2021,"Investor-owned utility, retail supplier",Approximately 8%,"Tier I: 8% by 2020-2021 (includes photovoltaic). Tier II (includes waste coal, distributed generation, large-scale hydropower and municipal solid waste, among other technologies): 10% by 2020-2021. Photovoltaic: 0.5% by 2020-2021.",Pa. Cons. Stat. tit. 66 §2814
RI,Rhode Island,4,44,Required,Renewable Energy Standard,2004,38.50%,2035,"14.5% by 2019, with increases of 1.5% each year until 38.5% by 2035","Investor-owned utility, retail supplier",Approximately 13%,"The state has a separate long-term contracting standard for renewable energy, which requires electric distribution companies to establish long-term contracts with new renewable energy facilities.",R.I. Gen. Laws §39-26-1 et seq.; R.I. Gen. Laws §39-26.1 et seq. (contracting standard); House Bill 7413a (2016)
SC,South Carolina,3,45,Voluntary,Voluntary Renewables Portfolio Standard,2014,2%,2021,2% by 2021,Investor-owned utility,None,"Systems less than 1 MW: 1% of aggregate generation capacity, including at least 0.25% of total generation from systems less than 20kW. 1 – 10 MW facilities: 1% of aggregate generation capacity.",House Bill 1189
SD,South Dakota,2,46,Expired,"Renewable, Recycled and Conserved Energy Objective",2008,10%,2015,10% by 2015,"Investor-owned utility, municipal utilities, cooperative utilities",None,,S.D. Codified Laws Ann. §49-34A-94; S.D. Codified Laws Ann. §49-34A-101 et seq.
TN,Tennessee,1,47,None,,,,,,,,,
TX,Texas,4,48,Required,Renewable Generation Requirement,1999,"10,000MW",2025,"5,880 MW by 2015. 10,000 MW by 2025 (goal; achieved)","Investor-owned utility, retail supplier",Approximately 3%,Non-wind: 500 MW (goal),Tex. Utilities Code Ann. §39.904.
UT,Utah,3,49,Voluntary,Renewables Portfolio Goal,2008,20%,2025,20% by 2025,"Investor-owned utility, municipal utilities, cooperative utilities",None,,Utah Code Ann. §54-17-101 et seq.; Utah Code Ann. §10-19-101 et seq.
VT,Vermont,4,50,Required,Renewable Portfolio Standard,2020,100%,2045,100% renewables by 2045 for Phase II utilities and 2050 for Phase I utilities,Investor-owned utility,None,"In 2020, the state enacted a mandatory 100% renewables target for Phase I and Phase II utilities. The state had previously implemented a voluntary renewables goal of 15% by 2025. Under the new requirements, Phase I utilities are required to achieve a renewables target of 14% by 2025, 30% by 2030, 65% by 2040, and 100% by 2050. Phase II utilities have an accelerated renewables requirement of 26% by 2025, 41% by 2030, and 100% by 2045. The law further requires utilities to procure a certain amount of generation from solar and onshore wind sources that are located within the state by a specific date.",Va. Code §56-585.2; Senate Bill 851 (2020)
VA,Virginia,4,51,Required,Renewable Energy Standard,2005 (voluntary target); 2015 (standard),75%,2032,55% by 2017; 75% by 2032,"Investor-owned utility, municipal utilities, cooperative utilities, retail supplier",Approximately 6%,"Distributed Generation: 10% by 2032. Energy Transformation: 12% by 2032 (includes weatherization, thermal energy efficiency and heat pumps).",Vt. Stat. Ann. tit. 30 §8001 et seq.; Standard: House Bill 40
WA,Washington,4,53,Required,Renewable Energy Standard,2006,15%,2020,15% renewable by 2020; 100% greenhouse gas neutral by 2030; 100% renewable or zero-emitting by 2045,"Investor-owned utility, municipal utilities, cooperative utilities",Approximately 4%,"Standard is applicable to all utilities that serve more than 25,000 customers. Requirement also includes all cost-effective conservation. The state has a credit multiplier for distributed generation.",Wash. Rev. Code §19.285; Wash. Admin. Code §480-109; Wash Admin. Code §194-37; Senate Bill 5116 (2019)
WV,West Virginia,1,54,None,Alternative and Renewable Energy Portfolio Standard- REPEALED,2009; Repealed 2015,15%,2024,"10% from 2015-2019, 15% from 2020-2024, 25% by 2025",Investor-owned utility,None,"Goal is applicable to IOUs that serve more than 30,000 residential customers. Goal includes alternative energy sources, including coal technology, coal bed methane, natural gas, combined cycle technologies, waste coal and pumped storage hydroelectric projects.",W. Va. Code §24-2F; Repeal: House Bill 2001
WI,Wisconsin,2,55,Expired,Renewable Portfolio Standard,1998,10%,2015,10% by 2015,"Investor-owned utility, municipal utilities, cooperative utilities",None,Standard varies by utility. 2011-2014: utilities may not decrease its renewable energy percentage below 2010 percentages. 2015: utilities must increase renewable energy percentages by at least 6% above their 2001-2003 average. Utilities may not decrease their renewable energy percentage after 2015.,Wisc. Stat. §196.378
WY,Wyoming,1,56,None,,,,,,,,,
